,HOOD,Neighbourhood Number,"Population, 2016",Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Highlight
26,Waterfront Communities-The Island,77,65913,43.6390266418457,-79.3791198730469,0,Performing Arts Venue,Chinese Restaurant,Lake,Café,Dessert Shop,Japanese Restaurant,Park,Skating Rink,Dance Studio,Dog Run,Cafes/Bakeries/ Mediterranean
27,West Humber-Clairville,1,33312,43.714282989502,-79.59326171875,2,Hotel,Swiss Restaurant,Mediterranean Restaurant,Paper / Office Supplies Store,Rental Car Location,Coffee Shop,Antique Shop,Distribution Center,Fast Food Restaurant,Farmers Market,"Services (Banking, Hotels, Shopping)"
28,Westminster-Branson,35,26274,43.7791557312012,-79.4526901245117,1,Construction & Landscaping,Baby Store,Gym / Fitness Center,Park,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Outdoors/Fitness/Fast Food
29,Weston-Pellam Park,91,11098,43.6686592102051,-79.45843505859379,0,Café,Snack Place,Organic Grocery,Fish Market,Jewelry Store,Cajun / Creole Restaurant,Seafood Restaurant,Gastropub,Discount Store,Electronics Store,Cafes/Bakeries/ Mediterranean
30,Wexford/Maryvale,119,27917,43.745632171630895,-79.2946472167969,0,Breakfast Spot,Bakery,Coffee Shop,Vietnamese Restaurant,Middle Eastern Restaurant,Fish Market,Burger Joint,Seafood Restaurant,Restaurant,Korean Restaurant,Cafes/Bakeries/ Mediterranean
32,Woodbine Corridor,64,12541,43.677116394043,-79.3157730102539,0,Café,Baseball Field,Grocery Store,Restaurant,Yoga Studio,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Cafes/Bakeries/ Mediterranean
33,Woodbine-Lumsden,60,7865,43.6937103271484,-79.3102645874023,0,Salon / Barbershop,Curling Ice,Pizza Place,Diner,Asian Restaurant,Park,Spa,Video Store,Convenience Store,Cuban Restaurant,Cafes/Bakeries/ Mediterranean
34,Agincourt North,129,29113,43.8080383,-79.2664391,2,Bank,Fried Chicken Joint,Discount Store,Coffee Shop,Sandwich Place,Pharmacy,Indian Restaurant,Chinese Restaurant,Frozen Yogurt Shop,Juice Bar,"Services (Banking, Hotels, Shopping)"
35,Alderwood,20,12054,43.6017173,-79.5452325,2,Pizza Place,Pool,Skating Rink,Sandwich Place,Pub,Coffee Shop,Gym,Pharmacy,Dessert Shop,Egyptian Restaurant,"Services (Banking, Hotels, Shopping)"
36,Annex,95,30526,43.670337700000005,-79.407117,0,Greek Restaurant,Design Studio,Bookstore,Tea Room,Vegetarian / Vegan Restaurant,Thai Restaurant,Indian Restaurant,Bakery,Pastry Shop,Park,Cafes/Bakeries/ Mediterranean
37,Banbury-Don Mills,42,27695,43.734803899999996,-79.35724259999999,1,Coffee Shop,Intersection,Trail,Park,Botanical Garden,Yoga Studio,Dog Run,Fast Food Restaurant,Farmers Market,Farm,Outdoors/Fitness/Fast Food
39,Bay Street Corridor,76,25797,43.6644565,-79.38718929999999,0,Sushi Restaurant,Creperie,Mexican Restaurant,Dance Studio,Beer Bar,Diner,Bubble Tea Shop,Distribution Center,Gastropub,Yoga Studio,Cafes/Bakeries/ Mediterranean
40,Bayview Village,52,21396,43.7691966,-79.37666170000001,2,Gas Station,Fast Food Restaurant,Pizza Place,Sporting Goods Shop,Persian Restaurant,Breakfast Spot,Fish Market,Sandwich Place,Bank,Outdoor Supply Store,"Services (Banking, Hotels, Shopping)"
41,Bayview Woods-Steeles,49,13154,43.7981268,-79.38297259999999,0,Trail,Dog Run,Yoga Studio,Discount Store,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Cafes/Bakeries/ Mediterranean
42,Bendale,127,29960,43.7535196,-79.2553355,2,Dog Run,Fast Food Restaurant,Chinese Restaurant,Intersection,Department Store,Grocery Store,Discount Store,Yoga Studio,Farmers Market,Farm,"Services (Banking, Hotels, Shopping)"
44,Broadview North,57,11499,43.6839242,-79.3569642,0,Restaurant,Discount Store,Ice Cream Shop,Grocery Store,Other Great Outdoors,Intersection,Bus Line,Park,Theater,Event Space,Cafes/Bakeries/ Mediterranean
45,Caledonia-Fairbanks,109,9955,43.6867527,-79.4595746,1,Cosmetics Shop,Park,Yoga Studio,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Outdoors/Fitness/Fast Food
46,Casa Loma,96,10968,43.678101500000004,-79.409415775,0,Café,History Museum,Coffee Shop,Castle,Indian Restaurant,Museum,Historic Site,Modern European Restaurant,Fast Food Restaurant,Farmers Market,Cafes/Bakeries/ Mediterranean
47,Centennial Scarborough,133,13362,43.7874914,-79.1507681,1,Bar,Park,Yoga Studio,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Outdoors/Fitness/Fast Food
48,Church-Yonge Corridor,75,31340,43.679918900000004,-79.3886888,0,Italian Restaurant,Athletics & Sports,Wine Bar,Liquor Store,American Restaurant,Juice Bar,Coffee Shop,BBQ Joint,Yoga Studio,Eastern European Restaurant,Cafes/Bakeries/ Mediterranean
49,Clanton Park,33,16472,43.7431757,-79.45172609999999,1,Park,Gym,Discount Store,Fast Food Restaurant,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Eastern European Restaurant,Outdoors/Fitness/Fast Food
50,Cliffcrest,123,15935,43.7219387,-79.2362324,0,Ice Cream Shop,Pizza Place,Hardware Store,Burger Joint,Discount Store,Yoga Studio,Distribution Center,Farmers Market,Farm,Event Space,Cafes/Bakeries/ Mediterranean
51,Corsa Italia-Davenport,92,14133,43.677954,-79.4430828,0,Italian Restaurant,Sushi Restaurant,Brazilian Restaurant,Coffee Shop,Mexican Restaurant,Café,Yoga Studio,Dog Run,Farmers Market,Farm,Cafes/Bakeries/ Mediterranean
52,Danforth Village - Toronto,66,9666,43.6864333,-79.30035550000001,2,Coffee Shop,Middle Eastern Restaurant,Caribbean Restaurant,Fish & Chips Shop,Skating Rink,Sandwich Place,Train Station,BBQ Joint,Pharmacy,Dance Studio,"Services (Banking, Hotels, Shopping)"
